
time,Latitude,Longitude,,
08:26:25:267,45.42387745,11.94783122,
08:26:27:271,45.42388588,11.94784503,
08:26:29:269,45.42389196,11.94785675,
08:26:31:272,45.42389771,11.94787492,
08:26:33:275,45.42390043,11.94789589,
08:26:35:267,45.42389287,11.94791483,
08:26:36:275,45.4238869,11.9479255,
08:26:38:274,45.42388035,11.94794708,
08:26:39:278,45.42387824,11.94795997,
08:26:40:273,45.42387664,11.94797323,
08:26:41:281,45.42387586,11.9479879,
08:26:42:277,45.42387648,11.94800323,
08:26:43:277,45.42387675,11.94801764,
08:26:44:274,45.42387695,11.94803207,
08:26:46:279,45.42387619,11.94805776,
08:26:47:283,45.42387514,11.94807168,
08:26:49:276,45.42387509,11.94809553,
08:26:51:270,45.4238765,11.94811642,
08:26:53:263,45.42388493,11.94812946,
08:26:55:265,45.42389327,11.94813901,
08:26:57:270,45.4239029,11.94814837,
08:26:59:264,45.42391921,11.94815888,
08:27:00:271,45.4239293,11.94816502,
08:27:01:269,45.42393992,11.94817239,
08:27:02:264,45.42395046,11.94818065,
08:27:03:262,45.42396083,11.94818941,
08:27:04:260,45.42397012,11.94819997,
08:27:05:259,45.42397849,11.94821093,
08:27:06:265,45.42398755,11.94821915,
08:27:07:272,45.42399584,11.94822567,
08:27:08:267,45.424003,11.94823823,
08:27:09:270,45.42401058,11.94825056,
08:27:10:267,45.42401984,11.9482591,
08:27:11:274,45.4240282,11.94827108,
08:27:12:271,45.42403758,11.94828236,
08:27:13:276,45.4240476,11.9482926,
08:27:14:265,45.42405854,11.94830173,
08:27:15:271,45.42406901,11.94831053,
08:27:16:276,45.42407989,11.94831793,
08:27:17:272,45.42409145,11.94832339,
08:27:18:274,45.4241031,11.94832887,
08:27:19:278,45.4241134,11.94833337,
08:27:20:280,45.42412433,11.94833663,
08:27:21:275,45.42413732,11.94834089,
08:27:22:276,45.42414969,11.94834395,
08:27:23:276,45.42416242,11.94834644,
08:27:24:279,45.42417457,11.9483493,
08:27:25:283,45.42418709,11.94835312,
08:27:26:276,45.42419951,11.94835616,
08:27:27:275,45.42421069,11.94836046,
08:27:28:281,45.42422177,11.94836609,
08:27:29:273,45.42423224,11.94837311,
08:27:30:271,45.42424196,11.94838229,
08:27:31:278,45.42425245,11.94838964,
08:27:32:276,45.42426361,11.94839259,
08:27:33:276,45.42427461,11.94839055,
08:27:34:277,45.42428598,11.9483817,
08:27:35:275,45.42429637,11.94837275,
08:27:36:277,45.42430325,11.94835673,
08:27:37:269,45.42431222,11.94834796,
08:27:38:271,45.42432283,11.94834848,
08:27:39:278,45.42433363,11.94834947,
08:27:40:265,45.42434549,11.94834862,
08:27:41:264,45.42435717,11.94834483,
08:27:42:269,45.42436869,11.94834042,
08:27:43:264,45.42438058,11.94833686,
08:27:44:268,45.42439205,11.94833796,
08:27:45:287,45.42440345,11.94833923,
08:27:46:264,45.42441489,11.94833927,
08:27:47:281,45.42442621,11.94833979,
08:27:48:267,45.42443793,11.94834169,
08:27:49:262,45.42444988,11.94834402,
08:27:50:278,45.4244631,11.94834559,
08:27:51:276,45.42447645,11.94834642,
08:27:52:274,45.4244881,11.94834946,
08:27:53:278,45.42449943,11.94835173,
08:27:54:276,45.42451105,11.94835431,
08:27:55:265,45.42452298,11.94835839,
08:27:56:268,45.42453479,11.94836385,
08:27:57:277,45.424546,11.94836957,
08:27:58:274,45.42455648,11.94837623,
08:27:59:276,45.42456382,11.94838822,
08:28:00:274,45.42456275,11.94840677,
08:28:01:283,45.42455575,11.94842494,
08:28:02:274,45.42454831,11.94843999,
08:28:03:267,45.42454022,11.94845452,
08:28:04:284,45.42453179,11.94847076,
08:28:05:273,45.42452235,11.94848628,
08:28:06:276,45.42451376,11.94850144,
08:28:07:278,45.42450594,11.94851601,
